type,t_rel,t_abs,j1,j2,j3,j4,j5,j6
cmd,0.000000,221.800000,0.500036,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.005000,221.805000,0.500822,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.010000,221.810000,0.501607,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.015000,221.815000,0.502392,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.020000,221.820000,0.503176,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.025000,221.825000,0.503959,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.030000,221.830000,0.504742,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.035000,221.835000,0.505523,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.040000,221.840000,0.506303,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.045000,221.845000,0.507081,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.050000,221.850000,0.507858,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.055000,221.855000,0.508633,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.060000,221.860000,0.509405,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.065000,221.865000,0.510176,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.070000,221.870000,0.510944,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.075000,221.875000,0.511709,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.080000,221.880000,0.512471,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.085000,221.885000,0.513230,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.090000,221.890000,0.513986,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.095000,221.895000,0.514738,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.100000,221.900000,0.515487,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.105000,221.905000,0.516232,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.110000,221.910000,0.516973,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.115000,221.915000,0.517710,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.120000,221.920000,0.518443,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.125000,221.925000,0.519171,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.130000,221.930000,0.519894,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.135000,221.935000,0.520612,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.140000,221.940000,0.521325,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.145000,221.945000,0.522033,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.150000,221.950000,0.522736,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.155000,221.955000,0.523433,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.160000,221.960000,0.524124,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.165000,221.965000,0.524809,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.170000,221.970000,0.525489,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.175000,221.975000,0.526161,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.180000,221.980000,0.526828,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.185000,221.985000,0.527488,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.190000,221.990000,0.528141,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.195000,221.995000,0.528787,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.200000,222.000000,0.529426,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.205000,222.005000,0.530057,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.210000,222.010000,0.530682,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.215000,222.015000,0.531299,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.220000,222.020000,0.531908,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.225000,222.025000,0.532509,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.230000,222.030000,0.533102,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.235000,222.035000,0.533687,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.240000,222.040000,0.534264,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.245000,222.045000,0.534832,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.250000,222.050000,0.535392,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.255000,222.055000,0.535943,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.260000,222.060000,0.536485,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.265000,222.065000,0.537018,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.270000,222.070000,0.537542,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.275000,222.075000,0.538057,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.280000,222.080000,0.538562,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.285000,222.085000,0.539058,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.290000,222.090000,0.539544,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.295000,222.095000,0.540021,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.300000,222.100000,0.540487,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.305000,222.105000,0.540944,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.310000,222.110000,0.541390,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.315000,222.115000,0.541827,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.320000,222.120000,0.542253,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.325000,222.125000,0.542668,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.330000,222.130000,0.543074,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.335000,222.135000,0.543468,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.340000,222.140000,0.543852,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.345000,222.145000,0.544225,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.350000,222.150000,0.544587,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.355000,222.155000,0.544938,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.360000,222.160000,0.545278,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.365000,222.165000,0.545607,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.370000,222.170000,0.545924,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.375000,222.175000,0.546230,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.380000,222.180000,0.546525,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.385000,222.185000,0.546809,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.390000,222.190000,0.547080,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.395000,222.195000,0.547341,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.400000,222.200000,0.547589,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.405000,222.205000,0.547826,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.410000,222.210000,0.548051,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.415000,222.215000,0.548264,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.420000,222.220000,0.548466,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.425000,222.225000,0.548655,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.430000,222.230000,0.548832,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.435000,222.235000,0.548998,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.440000,222.240000,0.549151,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.445000,222.245000,0.549292,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.450000,222.250000,0.549421,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.455000,222.255000,0.549538,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
