type,t_rel,t_abs,j1,j2,j3,j4,j5,j6
cmd,0.000000,11.500000,0.500037,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.005000,11.505000,0.501608,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.010000,11.510000,0.503177,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.015000,11.515000,0.504743,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.020000,11.520000,0.506304,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.025000,11.525000,0.507859,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.030000,11.530000,0.509407,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.035000,11.535000,0.510945,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.040000,11.540000,0.512472,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.045000,11.545000,0.513987,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.050000,11.550000,0.515488,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.055000,11.555000,0.516974,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.060000,11.560000,0.518444,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.065000,11.565000,0.519895,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.070000,11.570000,0.521326,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.075000,11.575000,0.522737,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.080000,11.580000,0.524125,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.085000,11.585000,0.525490,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.090000,11.590000,0.526829,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.095000,11.595000,0.528142,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.100000,11.600000,0.529427,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.105000,11.605000,0.530683,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.110000,11.610000,0.531909,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.115000,11.615000,0.533103,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.120000,11.620000,0.534265,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.125000,11.625000,0.535393,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.130000,11.630000,0.536486,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.135000,11.635000,0.537543,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.140000,11.640000,0.538563,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.145000,11.645000,0.539545,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.150000,11.650000,0.540488,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.155000,11.655000,0.541391,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.160000,11.660000,0.542254,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.165000,11.665000,0.543075,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.170000,11.670000,0.543853,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.175000,11.675000,0.544588,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.180000,11.680000,0.545279,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.185000,11.685000,0.545925,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.190000,11.690000,0.546526,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.195000,11.695000,0.547081,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.200000,11.700000,0.547590,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.205000,11.705000,0.548052,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.210000,11.710000,0.548467,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.215000,11.715000,0.548833,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.220000,11.720000,0.549152,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.225000,11.725000,0.549422,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.230000,11.730000,0.549643,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.235000,11.735000,0.549816,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.240000,11.740000,0.549939,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.245000,11.745000,0.550013,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.250000,11.750000,0.550037,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.255000,11.755000,0.550013,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.260000,11.760000,0.549939,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.265000,11.765000,0.549816,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.270000,11.770000,0.549643,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.275000,11.775000,0.549422,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.280000,11.780000,0.549152,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.285000,11.785000,0.548833,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.290000,11.790000,0.548467,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.295000,11.795000,0.548052,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.300000,11.800000,0.547590,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.305000,11.805000,0.547081,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.310000,11.810000,0.546526,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.315000,11.815000,0.545925,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.320000,11.820000,0.545279,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.325000,11.825000,0.544588,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.330000,11.830000,0.543853,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.335000,11.835000,0.543075,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.340000,11.840000,0.542254,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.345000,11.845000,0.541391,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.350000,11.850000,0.540488,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.355000,11.855000,0.539545,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.360000,11.860000,0.538563,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.365000,11.865000,0.537543,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.370000,11.870000,0.536486,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.375000,11.875000,0.535393,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.380000,11.880000,0.534265,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.385000,11.885000,0.533103,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.390000,11.890000,0.531909,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.395000,11.895000,0.530683,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.400000,11.900000,0.529427,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.405000,11.905000,0.528142,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.410000,11.910000,0.526829,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.415000,11.915000,0.525490,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.420000,11.920000,0.524125,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.425000,11.925000,0.522737,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.430000,11.930000,0.521326,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.435000,11.935000,0.519895,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.440000,11.940000,0.518444,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.445000,11.945000,0.516974,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.450000,11.950000,0.515488,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.455000,11.955000,0.513987,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.460000,11.960000,0.512472,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.465000,11.965000,0.510945,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.470000,11.970000,0.509407,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.475000,11.975000,0.507859,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.480000,11.980000,0.506304,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.485000,11.985000,0.504743,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.490000,11.990000,0.503177,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.495000,11.995000,0.501608,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
