type,t_rel,t_abs,j1,j2,j3,j4,j5,j6
cmd,0.000000,314.450000,0.500036,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.005000,314.455000,0.507858,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.010000,314.460000,0.515487,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.015000,314.465000,0.522736,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.020000,314.470000,0.529426,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.025000,314.475000,0.535392,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.030000,314.480000,0.540487,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.035000,314.485000,0.544587,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.040000,314.490000,0.547589,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.045000,314.495000,0.549421,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.050000,314.500000,0.550036,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.055000,314.505000,0.549421,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.060000,314.510000,0.547589,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.065000,314.515000,0.544587,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.070000,314.520000,0.540487,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.075000,314.525000,0.535392,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.080000,314.530000,0.529426,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.085000,314.535000,0.522736,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.090000,314.540000,0.515487,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.095000,314.545000,0.507858,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.100000,314.550000,0.500036,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.105000,314.555000,0.492215,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.110000,314.560000,0.484586,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.115000,314.565000,0.477337,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
